motion_id,topic,source,confidence,classified_at
mace1996.calicotab.com:andl2025:66209,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66218,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:andl2025:66219,,,,2026-09-26T13:52:04.780788+00:00
akudc24.calicotab.com:akudc24:46614,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
akudc24.calicotab.com:akudc24:46615,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
akudc24.calicotab.com:akudc24:46616,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
akudc24.calicotab.com:akudc24:46617,,,,2026-09-26T13:52:04.780788+00:00
akudc24.calicotab.com:akudc24:46618,,,,2026-09-26T13:52:04.780788+00:00
debatefoster.calicotab.com:agonia2024:37699,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
debatefoster.calicotab.com:agonia2024:37698,,,,2026-09-26T13:52:04.780788+00:00
debatefoster.calicotab.com:agonia2024:37697,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
debatefoster.calicotab.com:agonia2024:37696,,,,2026-09-26T13:52:04.780788+00:00
debatefoster.calicotab.com:agonia2024:37695,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:Agonia2025:58506,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:Agonia2025:58507,,,,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:Agonia2025:58547,Religion,model,0.41,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:Agonia2025:58548,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:Agonia2025:58549,,,,2026-09-26T13:52:04.780788+00:00
albertaprewudc2026.calicotab.com:albertaprewudc2026:85207,,,,2026-09-26T13:52:04.780788+00:00
albertaprewudc2026.calicotab.com:albertaprewudc2026:85213,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
albertaprewudc2026.calicotab.com:albertaprewudc2026:85217,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
albertaprewudc2026.calicotab.com:albertaprewudc2026:85226,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
albertaprewudc2026.calicotab.com:albertaprewudc2026:85290,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62544,,,,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62562,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62561,,,,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62563,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62773,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62772,,,,2026-09-26T13:52:04.780788+00:00
anudc.calicotab.com:anudc2025:62771,,,,2026-09-26T13:52:04.780788+00:00
mascot10.calicotab.com:anydc2024:33298,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mascot10.calicotab.com:anydc2024:33299,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mascot10.calicotab.com:anydc2024:33301,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen.calicotab.com:AmsterdamOpen2023:22996,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen.calicotab.com:AmsterdamOpen2023:22997,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen.calicotab.com:AmsterdamOpen2023:22998,,,,2026-09-26T13:52:04.780788+00:00
