host,slug,status,rounds
aodcbp2023.calicotab.com,aodcbp23,"failed: ConnectionError: HTTPSConnectionPool(host='aodcbp2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aodcbp23/teams (Caused by NameResolutionError(""HTTPSConnection(host='aodcbp2023.calicotab.com', port=443): Failed to resolve 'aodcbp2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
auw.calicotab.com,auwiv2026,"failed: ConnectionError: HTTPSConnectionPool(host='auw.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/auwiv2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='auw.calicotab.com', port=443): Failed to resolve 'auw.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
astanaopen2021.calicotab.com,ao2021,"failed: ConnectionError: HTTPSConnectionPool(host='astanaopen2021.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/ao2021/teams (Caused by NameResolutionError(""HTTPSConnection(host='astanaopen2021.calicotab.com', port=443): Failed to resolve 'astanaopen2021.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
astanaopen.calicotab.com,_,"failed: ConnectionError: HTTPSConnectionPool(host='astanaopen.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/_/teams (Caused by NameResolutionError(""HTTPSConnection(host='astanaopen.calicotab.com', port=443): Failed to resolve 'astanaopen.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
ateneoiv2023.calicotab.com,aiv2023,"failed: ConnectionError: HTTPSConnectionPool(host='ateneoiv2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aiv2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='ateneoiv2023.calicotab.com', port=443): Failed to resolve 'ateneoiv2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
aivpreworlds2023.calicotab.com,aivpw2023,"failed: ConnectionError: HTTPSConnectionPool(host='aivpreworlds2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aivpw2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='aivpreworlds2023.calicotab.com', port=443): Failed to resolve 'aivpreworlds2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
athena2024.calicotab.com,athena24,"failed: ConnectionError: HTTPSConnectionPool(host='athena2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/athena24/teams (Caused by NameResolutionError(""HTTPSConnection(host='athena2024.calicotab.com', port=443): Failed to resolve 'athena2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
hdf.calicotab.com,academy2025,"failed: ConnectionError: HTTPSConnectionPool(host='hdf.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/academy2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='hdf.calicotab.com', port=443): Failed to resolve 'hdf.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
athensiv2024.calicotab.com,athensiv2024,"failed: ConnectionError: HTTPSConnectionPool(host='athensiv2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/athensiv2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='athensiv2024.calicotab.com', port=443): Failed to resolve 'athensiv2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
athensiv2025.calicotab.com,_,"failed: ConnectionError: HTTPSConnectionPool(host='athensiv2025.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/_/teams (Caused by NameResolutionError(""HTTPSConnection(host='athensiv2025.calicotab.com', port=443): Failed to resolve 'athensiv2025.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
